commit	val_mmc_mean	val_corr_mean	research_score	status	description
4e95108	0.002471	0.014193	0.006574	baseline	champion reconstruction on v5.3 Quantum data: wf_dyn xgboost ender60 (top_k=60,trailing=20,lb=142,purge=4,neut=0.1); same strategy as v5.2 champion (val_mmc_mean=0.00270,val_corr_mean=0.01545), re-baselined on v5.3 dataset
c0ede15	0.002839	0.015687	0.007336	keep	added quantum (807 feats) to CANDIDATE_GROUPS, pool 682->1506, top_k=60 selects from combined pool; beats v5.3 baseline (mmc +0.000368, corr +0.001494); includes unrelated memory fix to precompute_era_correlations (per-era groupby instead of one dense matrix, needed to avoid 76GB alloc on this 32GB machine)
4eeb8ab	0.002088	0.012241	0.005642	discard	quantum-only pool (CANDIDATE_GROUPS=[quantum], extras cleared, top_k=60 from 807); worse than both v5.3 baseline and quantum-merged keeper c0ede15 -> quantum has real but modest standalone signal, blends better with existing groups than alone
5cc5e91	NA	NA	NA	killed	top_k 60->90 for the expanded quantum pool; killed before completion at user request, no result to compare
4421bfd	0.000596	0.007072	0.002863	discard	quantum-only pool, trailing=142 (full lookback ranking) + top_k=120; much worse than quantum-only trailing=20 k=60 (mmc 0.00060 vs 0.00209, sharpe 0.48, drawdown -0.074) -> quantum's carrying features ROTATE over time; short trailing window is essential, long-window ranking locks onto stale features
717d0a3	0.002839	0.015687	0.007336	keep	perf refactor verification: pruned per-step column slicing + era-corr disk cache; metrics bit-for-bit identical to keeper c0ede15, wall clock 1662s vs 2426s (-31%)
bd8ddff	0.002821	0.015996	0.007432	discard	trailing 20->40 on merged pool (k=60): statistical tie on mmc (-0.000018, ~0.1 SE) but better corr (+2%), corr sharpe 1.347, mmc sharpe 1.173, research_score +1.3%; reverted per mmc-first rule -> recency curve is FLAT between t=20-40, cliff by t=142; reinstatable if research_score weighted
cd4c5d2	0.000280	-0.000000	0.000182	discard	train ONLY on trailing window: --lookback-eras 20 --trailing-eras 20 (merged pool k=60); corr collapses to zero, drawdown -0.175
cd4c5d2	-0.000052	-0.002417	-0.000880	discard	train ONLY on trailing window: --lookback-eras 40 --trailing-eras 40; NEGATIVE corr and mmc, drawdown -0.345; worse than 20/20 despite more data -> recency overfitting, not small-sample noise
cd4c5d2	-0.000116	-0.002593	-0.000983	discard	train ONLY on trailing window: --lookback-eras 60 --trailing-eras 60; negative corr/mmc, drawdown -0.316 -> short-training failure is monotone-ish in window size; long 142-era TRAINING window is load-bearing (mirror image of the trailing=142 SELECTION failure 4421bfd)
cd4c5d2	0.002798	0.015110	0.007107	discard	--trailing-eras 10 (train=142, merged pool k=60): mmc -1.4% vs keeper, corr sharpe 1.10 vs 1.32, drawdown -0.041 vs -0.016; 10 overlapping eras = noisier ranking snapshot -> selection window curve fully mapped: rounded plateau t=10-40, t=20 at/near peak on every metric, dimension exhausted
609f020	0.000966	0.008072	0.003453	discard	quantum-only pool, top_k=420 of 807 (t=20, train=142): mmc 0.00097 vs 0.00209 at k=60, corr sharpe 0.51, drawdown -0.093, wall clock 6234s -> quantum value is CONCENTRATED in its top tier; features ranked 61-420 add noise; quantum-only direction exhausted (every variant loses to merged pool, tighter k always wins)
cd4c5d2	0.003057	0.017430	0.008087	keep	--top-k 90 on merged pool (t=20, train=142): mmc +7.7% vs k=60 keeper, corr sharpe 1.57, mmc sharpe 1.34 -> slot pressure was real; superseded by k=120 same sweep
cd4c5d2	0.003145	0.017799	0.008274	keep	--top-k 120 on merged pool (t=20, train=142): NEW BEST mmc 0.00315 (+10.8% vs k=60 keeper, +27% vs v5.3 baseline), corr 0.01780, research 0.00827, drawdown -0.0158; curve still rising at 120 -> k=150/180 worth probing; k=120 committed as new keeper config
